"Scripture","RCL ","Roman","Episcopal","Lutheran","United Methodist","Row Order"
"Matthew 5:20-37","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A",921
"Matthew 5:38-48","Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A",922
"Matthew 6:1-21","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A",923
,"Ash Wednesday B","Ash Wednesday B","Ash Wednesday B","Ash Wednesday B","Ash Wednesday B",924
,"Ash Wednesday C","Ash Wednesday C","Ash Wednesday C","Ash Wednesday C","Ash Wednesday C",925
"Matthew 6:24-34","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A",926
,"Thanksgiving B",,"Thanksgiving A","Thanksgiving B","Thanksgiving B",927
,,,"Thanksgiving B",,,928
,,,"Thanksgiving C",,,929
"Matthew 7:21-29","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A",930
,"Proper 4A",,,,,931
"Matthew 9:9-26","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A",932
"Matthew 9:35 - 10:23","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A",933
,,,"Proper 7A/ Ordinary 12A",,,934
"Matthew 10:24-39","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A",935
,,"Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A",,,936
"Matthew 10:40-42","Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A",937
"Matthew 11:2-11","Advent 3A","Advent 3A","Advent 3A","Advent 3A","Advent 3A",938
"Matthew 11:16-30","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A",939
"Matthew 13:1-23","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A",940
"Matthew 13:24-43","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A",941
"Matthew 13:31-52","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A",942
"Matthew 14:13-21","Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A",943
"Matthew 14:22-33","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A",944
"Matthew 15:10-28","Proper 15A/ Ordinary 20A",,"Proper 15A/ Ordinary 20A","Proper 15A/ Ordinary 20A","Proper 15A/ Ordinary 20A",945
"Matthew 16:13-20","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A",946
"Matthew 16:21-28","Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A",947
"Matthew 17:1-9","Transfiguration A","Transfiguration A",,"Transfiguration A","Transfiguration A",948
,"Lent 2A","Lent 2A",,,,949
"Matthew 18:15-20","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A",950
"Matthew 18:21-35","Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A",951
"Matthew 20:1-16","Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A",952
"Matthew 21:1-11","Palms A","Palms A","Palms A","Palms A","Palms A",953
"Matthew 21:23-32","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A",954
"Matthew 21:33-46","Proper 22/ Ordinary 27A","Proper 22/ Ordinary 27A","Proper 22/ Ordinary 27A","Proper 22/ Ordinary 27A","Proper 22/ Ordinary 27A",955
"Matthew 22:1-14","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A",956
"Matthew 22:15-22","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A",957
"Matthew 22:34-46","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A",958
"Matthew 23:1-12","Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A",959
"Matthew 24:36-44","Advent 1A","Advent 1A","Advent 1A","Advent 1A","Advent 1A",960
"Matthew 25:1-13","Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A",961
"Matthew 25:14-30","Proper 28/ Ordinary 33A","Proper 28/ Ordinary 33A","Proper 28/ Ordinary 33A","Proper 28/ Ordinary 33A","Proper 28/ Ordinary 33A",962
"Matthew 25:31-46","New Year A","New Year A","New Year A","New Year A","New Year A",963
,"Christ the King A","Christ the King A","Christ the King A","Christ the King A","Christ the King A",964
,"New Year B","New Year B","New Year B","New Year B","New Year B",965
,"New Year C","New Year C","New Year C","New Year C","New Year C",966
"Matthew 26:1-5",,,"Holy Week Wednesda",,,967
"Matthew 26:14 - 27:66","Passion A","Passion A","Passion A","Passion A","Passion A",968
,"Holy Saturday A","Holy Week Wednesda","Holy Week Wednesda","Holy Saturday A","Holy Saturday A",969
,"Holy Saturday B","Holy Saturday A","Holy Saturday A","Holy Saturday B","Holy Saturday B",970
,"Holy Saturday C","Holy Week Wednesday B","Holy Week Wednesday B","Holy Saturday C","Holy Saturday C",971
,,"Holy Saturday B","Holy Saturday B",,,972
,,"Holy Week Wednesday C","Holy Week Wednesday C",,,973
,,"Holy Saturday C","Holy Saturday C",,,974
"Matthew 28:1-10","Easter Day A",,"Easter Vigil A","Easter Day A","Easter Vigil A",975
,,,"Easter Day A",,"Easter Day A",976
,,,"Easter Vigil B",,"Easter Vigil B",977
,,,"Easter Vigil C",,"Easter Vigil C",978
"Matthew 28:16-20","Trinity A","Ascension A","Trinity A","Trinity A","Trinity A",979
,,"Trinity B",,,,980
,,"Ascension C",,,,981
"Mark 1:1-8","Advent 2B","Advent 2B","Advent 2B","Advent 2B","Advent 2B",982
"Mark 1:4-11","Baptism B","Baptism B","Baptism B","Baptism B","Baptism B",983
"Mark 1:9-15","Lent 1B","Lent 1B","Lent 1B","Lent 1B","Lent 1B",984
"Mark 1:14-20","Epiphany 3B","Epiphany 3B","Epiphany 3B","Epiphany 3B","Epiphany 3B",985
"Mark 1:21-28","Epiphany 4B","Epiphany 4B","Epiphany 4B","Epiphany 4B","Epiphany 4B",986
"Mark 1:29-39","Epiphany 5B","Epiphany 5B","Epiphany 5B","Epiphany 5B","Epiphany 5B",987
"Mark 1:40-45","Epiphany 6B","Epiphany 6B","Epiphany 6B","Epiphany 6B","Epiphany 6B",988
"Mark 2:1-12","Epiphany 7B","Epiphany 7B","Epiphany 7B","Epiphany 7B","Epiphany 7B",989
"Mark 2:13-22","Epiphany 8B","Epiphany 8B","Epiphany 8B","Epiphany 8B","Epiphany 8B",990
"Mark 2:23 - 3:6","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B",991
,"Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B",992
"Mark 3:20-35","Proper 5B/ Ordinary 10B","Proper 5B/ Ordinary 10B","Proper 5B/ Ordinary 10B","Proper 5B/ Ordinary 10B","Proper 5B/ Ordinary 10B",993
"Mark 4:26-34","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B",994
"Mark 4:35-41","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B",995
"Mark 5:1-20",,"Thanksgiving A","Proper 7/ Ordinary 12B",,,996
,,"Thanksgiving B",,,,997
,,"Thanksgiving C",,,,998
"Mark 5:21-43","Proper 8/ Ordinary 13B","Proper 8/ Ordinary 13B","Proper 8/ Ordinary 13B","Proper 8/ Ordinary 13B","Proper 8/ Ordinary 13B",999
"Mark 6:1-13","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B",1000
,,"Proper 10/ Ordinary 15B","Proper 10/ Ordinary 15B",,,1001
"Mark 6:14-29","Proper 10/ Ordinary 15B",,,"Proper 10/ Ordinary 15B","Proper 10/ Ordinary 15B",1002
"Mark 6:30-56","Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B",1003
,,,"Proper 12/ Ordinary 17B",,,1004
"Mark 7:1-23","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B",1005
"Mark 7:24-37","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B",1006
"Mark 8:27-38","Lent 2B","Proper 19/ Ordinary 24B","Lent 2B","Lent 2B","Lent 2B",1007
,"Proper 19/ Ordinary 24B",,"Proper 19/ Ordinary 24B","Proper 19/ Ordinary 24B","Proper 19/ Ordinary 24B",1008
"Mark 9:2-10","Transfiguration B","Transfiguration B",,"Transfiguration B","Transfiguration B",1009
,"Lent 2B","Lent 2B",,,,1010
"Mark 9:14-29",,,"Proper 19/ Ordinary 24B",,,1011
"Mark 9:30-37","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B",1012
"Mark 9:38-50","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B",1013
"Mark 10:2-16","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B","Proper 22/ Ordinary 27B",1014
"Mark 10:17-31","Proper 23B/ Ordinary 28B","Proper 23B/ Ordinary 28B","Proper 23B/ Ordinary 28B","Proper 23B/ Ordinary 28B","Proper 23B/ Ordinary 28B",1015
"Mark 10:35-45","Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B",1016
"Mark 10:46-52","Proper 25B/ Ordinary 30B","Proper 25B/ Ordinary 30B","Proper 25B/ Ordinary 30B","Proper 25B/ Ordinary 30B","Proper 25B/ Ordinary 30B",1017
"Mark 11:1-11","Palms B","Palms B","Palms B","Palms B","Palms B",1018
,,,"Christ the King B",,,1019
"Mark 11:15-19",,,"Holy Week Tuesday A",,,1020
,,,"Holy Week Tuesday B",,,1021
,,,"Holy Week Tuesday C",,,1022
"Mark 12:28-34","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B",1023
"Mark 12:38-44","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B",1024
"Mark 13:1-8","Proper 28B/ Ordinary 33B",,,"Proper 28B/ Ordinary 33B","Proper 28B/ Ordinary 33B",1025
"Mark 13:14-23",,,"Proper 28B/ Ordinary 33B",,,1026
"Mark 13:24-37","Advent 1B","Advent 1B","Advent 1B","Advent 1B","Advent 1B",1027
,,"Proper 28B/ Ordinary 33B",,,,1028
"Mark 14:1 - 15:47","Passion B","Passion B","Holy Week Monday A","Passion B","Passion B",1029
,,,"Passion B",,,1030
,,,"Holy Week Monday B",,,1031
,,,"Holy Week Monday C",,,1032
"Mark 16:1-8","Easter Vigil A","Easter Vigil A","Easter Day B","Easter Vigil A","Easter Vigil A",1033
,"Easter Vigil B","Easter Vigil B",,"Easter Vigil B","Easter Vigil B",1034
,"Easter Vigil C","Easter Vigil C",,"Easter Vigil C","Easter Vigil C",1035
,"Easter Day B","Easter Day B",,"Easter Day B","Easter Day B",1036
"Mark 16:9-20",,"Ascension B","Ascension A",,,1037
,,,"Ascension B",,,1038
,,,"Ascension C",,,1039
"Luke 1:1-4",,"Epiphany 3C",,,,1040
"Luke 1:26-38","Advent 4B","Advent 4B","Advent 4B","Advent 4B","Advent 4B",1041
"Luke 1:39-56","Advent 3A","Proper 15A/ Ordinary 20A","Advent 4C","Advent 3A","Advent 3A",1042
,"Advent 3B","Advent 3B",,"Advent 3B","Advent 4B",1043
,"Advent 4B","Advent 4C",,"Advent 4B","Advent 4C",1044
,"Advent 4C",,,"Advent 4C",,1045
"Luke 1:57-66",,"Proper 7C/ Ordinary 12C",,,,1046
"Luke 1:68-79","Advent 2C",,,"Advent 2C","Advent 2C",1047
,"Christ the King C",,,,"Christ the King C",1048
"Luke 2:1-20","Christmas Eve/Day A","Christmas Midnight A","Christmas Day 1A","Christmas Eve A ","Christmas Eve A ",1049
,"Christmas Eve/Day B","Christmas Dawn A","Christmas Day 2A","Christmas Dawn A","Christmas Eve B",1050
,"Christmas Eve/Day C","Christmas Midnight  B","Christmas Day 1B","Christmas Eve B","Christmas Eve C",1051
,,"Christmas Dawn  B","Christmas Day 2B","Christmas Dawn B",,1052
,,"Christmas Midnight C","Christmas Day 1C","Christmas Eve B",,1053
,,"Christmas Dawn C","Christmas Day 2C","Christmas Dawn B",,1054
"Luke 2:15-21","Holy Name A","Holy Name A","Holy Name A","Holy Name A","Holy Name A",1055
,"Holy Name B","Holy Name B","Holy Name B","Holy Name B","Holy Name B",1056
,"Holy Name C","Holy Name C","Holy Name C","Holy Name C","Holy Name C",1057
"Luke 2:22-40","Christmas 1B","Christmas 1B",,"Christmas 1B","Christmas 1B",1058
"Luke 2:41-52","Christmas 1C","Christmas 1C","Christmas 2A","Christmas 1C","Christmas 1C",1059
,,,"Christmas 2B",,,1060
,,,"Christmas 2C",,,1061
"Luke 3:1-6","Advent 2C","Advent 2C","Advent 2C","Advent 2C","Advent 2C",1062
"Luke 3:7-18","Advent 3C","Advent 3C","Advent 3C","Advent 3C","Advent 3C",1063
"Luke 3:15-22","Baptism C","Baptism C","Baptism C","Baptism C","Baptism C",1064
"Luke 4:1-13","Lent 1C","Epiphany 3C","Lent 1C","Lent 1C","Lent 1C",1065
,,"Lent 1C",,,,1066
"Luke 4:14-21","Epiphany 3C","Epiphany 3C","Epiphany 3C","Epiphany 3C","Epiphany 3C",1067
"Luke 4:21-30","Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C",1068
"Luke 5:1-11","Epiphany 5C","Epiphany 5C","Epiphany 5C","Epiphany 5C","Epiphany 5C",1069
"Luke 6:17-26","Epiphany 6C","Epiphany 6C","All Saints A (service 2) ","Epiphany 6C","Epiphany 6C",1070
,,,"All Saints B (service 2)",,,1071
,,,"Epiphany 6C",,,1072
,,,"All Saints C (service 2)",,,1073
"Luke 6:20-31","All Saints C",,,"All Saints C","All Saints C",1074
"Luke 6:27-38","Epiphany 7C","Epiphany 7C","All Saints A (service 2)","Epiphany 7C","Epiphany 7C",1075
,,,"All Saints B (service 2)",,,1076
,,,"Epiphany 7C",,,1077
,,,"All Saints C (service 2)",,,1078
"Luke 6:39-49","Epiphany 8C","Epiphany 8C","Epiphany 8C","Epiphany 8C","Epiphany 8C",1079
"Luke 7:1-10","Epiphany 9C","Epiphany 9C","Epiphany 9C","Epiphany 9C","Epiphany 9C",1080
,"Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C",1081
"Luke 7:11-17","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C",1082
"Luke 7:36 - 8:3","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C",1083
"Luke 8:26-39","Proper 7C/ Ordinary 12C",,,"Proper 7C/ Ordinary 12C","Proper 7C/ Ordinary 12C",1084
"Luke 9:18-24",,,"Proper 7C/ Ordinary 12C",,,1085
"Luke 9:28-43","Transfiguration C","Transfiguration C","Transfiguration A","Transfiguration C","Transfiguration C",1086
,"Lent 2C","Lent 2C","Transfiguration B","Lent 2C","Lent 2C",1087
,,,"Transfiguration C",,,1088
"Luke 9:51-62","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C",1089
"Luke 10:1-20","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C",1090
"Luke 10:25-37","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C",1091
"Luke 10:38-42","Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C",1092
"Luke 11:1-13","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C","Proper 12C/ Ordinary 17C",1093
"Luke 12:13-21","Proper 13C/ Ordinary 18C","Thanksgiving A","Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C",1094
,,"Thanksgiving B",,,,1095
,,"Proper 13C/ Ordinary 18C",,,,1096
,,"Thanksgiving C",,,,1097
"Luke 12:32-48","Proper 14C/ Ordinary 19C","Proper 14C/ Ordinary 19C","Proper 14C/ Ordinary 19C","Proper 14C/ Ordinary 19C","Proper 14C/ Ordinary 19C",1098
"Luke 12:49-56","Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C",1099
"Luke 13:1-9","Lent 3C","Lent 3C","Lent 3C","Lent 3C","Lent 3C",1100
"Luke 13:10-17","Proper 16C/ Ordinary 21C",,,"Proper 16C/ Ordinary 21C","Proper 16C/ Ordinary 21C",1101
"Luke 13:22-30",,"Proper 16C/ Ordinary 21C","Lent 2C",,,1102
,,,"Proper 16C/ Ordinary 21C",,,1103
"Luke 13:31-35","Lent 2C",,"Lent 2C","Lent 2C","Lent 2C",1104
"Luke 14:1-14","Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C",1105
"Luke 14:25-33","Proper 18C/ Ordinary 23C","Proper 18C/ Ordinary 23C","Proper 18C/ Ordinary 23C","Proper 18C/ Ordinary 23C","Proper 18C/ Ordinary 23C",1106
"Luke 15:1-32","Lent 4C","Lent 4C","Lent 4C","Lent 4C","Lent 4C",1107
,"Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C",1108
"Luke 16:1-13","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C",1109
"Luke 16:19-31","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C",1110
"Luke 17:5-10","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C",1111
"Luke 17:11-19","Thanksgiving A","Thanksgiving A","Proper 23C/ Ordinary 28C","Thanksgiving A","Thanksgiving A",1112
,"Proper 23C/ Ordinary 28C","Thanksgiving B",,"Proper 23C/ Ordinary 28C","Proper 23C/ Ordinary 28C",1113
,,"Proper 23C/ Ordinary 28C",,,,1114
,,"Thanksgiving C",,,,1115
"Luke 18:1-8","Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C",1116
"Luke 18:9-14","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C",1117
"Luke 19:1-10","Proper 26C/ Ordinary 31C","Proper 26C/ Ordinary 31C","Proper 26C/ Ordinary 31C","Proper 26C/ Ordinary 31C","Proper 26C/ Ordinary 31C",1118
"Luke 19:28-40","Palms C","Palms C","Palms C","Palms C","Palms C",1119
,,,"Christ the King C",,,1120
"Luke 20:9-19",,,"Lent 5C",,,1121
"Luke 20:27-38","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C",1122
"Luke 21:5-19","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C",1123
"Luke 21:25-36","Advent 1C","Advent 1C","Advent 1C","Advent 1C","Advent 1C",1124
"Luke 22:14 - 23:56","Passion C","Passion C","Holy/Maundy Thursday A","Passion C","Passion C",1125
,"Christ the King C","Christ the King C","Holy/Maundy Thursday B","Christ the King C","Christ the King C",1126
,,,"Passion C",,,1127
,,,"Holy/Maundy Thursday C",,,1128
,,,"Christ the King C",,,1129
"Luke 24:1-12","Easter Day C",,"Easter Day C","Easter Day C","Easter Vigil A",1130
,,,,,"Easter Vigil B",1131
,,,,,"Easter Vigil C",1132
,,,,,"Easter Day C",1133
"Luke 24:13-49","Easter Evening A","Easter Evening A","Easter Evening A","Easter Evening A","Easter Evening A",1134
,"Easter 3A","Easter 3A","Easter 3A","Easter 3A","Easter 3A",1135
,"Easter Evening B","Easter Evening B","Easter Evening B","Easter Evening B","Easter Evening B",1136
,"Easter 3B","Easter 3B","Easter 3B","Easter 3B","Easter 3B",1137
,"Easter Evening C","Easter Evening C","Easter Evening C","Easter Evening C","Easter Evening C",1138
"Luke 24:44-53","Ascension A",,"Ascension A","Ascension A","Ascension A",1139
,"Ascension B",,"Ascension B","Ascension B","Ascension B",1140
,"Ascension C",,"Ascension C","Ascension C","Ascension C",1141
"John 1:1-18","Christmas Eve/Day A","Christmas Day A","Christmas Day 3A","Christmas Day A ","Christmas Day A ",1142
,"Christmas 2A","Christmas 2A","Christmas 1A","Christmas 2A","Christmas 2A",1143
,"Christmas Eve/Day B","Christmas Day B","Christmas Day 3B","Christmas Day B","Christmas Day B",1144
,"Christmas 2B","Christmas 2B","Christmas 1B","Christmas 2B","Christmas 2B",1145
,"Christmas Eve/Day C","Christmas Day C","Christmas Day 3C","Christmas Day C","Christmas Day C",1146
,"Christmas 2C","Christmas 2C","Christmas 1C","Christmas 2C","Christmas 2C",1147
"John 1:6-28","Advent 3B","Advent 3B","Advent 3B","Advent 3B","Advent 3B",1148
"John 1:29-42","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A",1149
,,"Epiphany 2B",,,,1150
"John 1:43-51","Epiphany 2B",,"Epiphany 2B","Epiphany 2B","Epiphany 2B",1151
"John 2:1-11","Epiphany 2C","Epiphany 2C","Epiphany 2C","Epiphany 2C","Epiphany 2C",1152
"John 2:13-25","Lent 3B","Lent 3B","Lent 3B","Lent 3B","Lent 3B",1153
"John 3:1-17","Lent 2A",,"Lent 2A","Lent 2A","Lent 2A",1154
,"Trinity B",,"Trinity B","Trinity B","Trinity B",1155
"John 3:14-21","Lent 4B","Trinity A",,"Lent 4B","Lent 4B",1156
,,"Lent 4B",,,,1157
"John 3:23-30",,,"Advent 3B",,,1158
"John 4:5-42","Lent 3A","Lent 3A","Lent 3A","Lent 3A","Lent 3A",1159
"John 5:1-9","Easter 6C",,,"Easter 6C",,1160
"John 6:1-21","Proper 12/ Ordinary 17B","Proper 12/ Ordinary 17B","Lent 4B","Proper 12/ Ordinary 17B","Proper 12/ Ordinary 17B",1161
"John 6:24-35","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B",1162
,"Thanksgiving C",,,"Thanksgiving C","Thanksgiving C",1163
"John 6:35-51","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B",1164
"John 6:51-59","Proper 15/ Ordinary 20B","Body and Blood of Christ A","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B",1165
,,"Proper 15/ Ordinary 20B",,,,1166
"John 6:56-69","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B",1167
"John 7:37-39","Pentecost A",,,"Pentecost A",,1168
"John 8:1-11",,"Lent 5C",,,,1169
"John 8:31-36",,,,,,1170
"John 9:1-41","Lent 4A","Lent 4A","Lent 4A","Lent 4A","Lent 4A",1171
"John 10:1-10","Easter 4A","Easter 4A","Easter 4A","Easter 4A","Easter 4A",1172
"John 10:11-18","Easter 4B","Easter 4B","Easter 4B","Easter 4B","Easter 4B",1173
"John 10:22-30","Easter 4C","Easter 4C","Easter 4C","Easter 4C","Easter 4C",1174
"John 11:1-45","Lent 5A","Lent 5A","Lent 5A","Lent 5A","Lent 5A",1175
,"All Saints B",,,"All Saints B","All Saints B",1176
"John 12:1-11","Holy Week Monday A","Holy Week Monday A","Holy Week Monday A","Holy Week Monday A","Holy Week Monday A",1177
